Description,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25
Current account balance,-106,-481,-728,-110,-721,143,-536,86,-239,-239,-96,-103,-797,-590,-290,-310,-608,64,-258,801,-29,125,-636,-287,-305,-402,121,-541,-311,-1081,-779,-25,-67,-180,-1084,-307,-718,-667,-296,-676,-1107,-1285,-1487,-994,-609,-1274,-1726,-1431,-2241,-947,-1150,-1243,-1635,-1443,-1750,-1210,-1435,-2239,-1998,-1904,-2103,-809,-1200,-1257,-1120,-1834,-855,-283,-823,-1165,-1004,-981,-616,-632,-471,48,-411,-1365,-536,-214,50,-510,329,-121,613,148,36,313,309,-1068,-220,-37,-369,-268,-640,-1637,-859,-1539,-1162,-1725,-1974,-1853,-2380,-541,-981,-640,-1506,-2321,-1253,-761,-427,-860,-173,-373,-431,-313,537,134,155,490,-921,-263,-233,-252,-161,219,-400,-4,363,315,-235,-500,-355,-95,-52,296,709,454,-393,-85,1276,28,-111,260,-379,-325,110
Current account balance without off. transfers,-130,-532,-740,-116,-725,56,-540,76,-250,-246,-128,-189,-819,-596,-349,-314,-612,-19,-258,783,-101,105,-646,-315,-364,-423,107,-575,-439,-1148,-813,-37,-106,-196,-1105,-447,-724,-719,-322,-707,-1138,-1375,-1520,-1060,-672,-1333,-1782,-1492,-2274,-1009,-1220,-1287,-1698,-1526,-1814,-1264,-1497,-2297,-2057,-2222,-2254,-890,-1250,-1304,-1179,-1885,-895,-322,-868,-1212,-1056,-1062,-719,-669,-505,12,-447,-1411,-567,-250,19,-530,318,-149,595,129,18,271,289,-1087,-254,-57,-404,-283,-649,-1647,-912,-1558,-1182,-1745,-1998,-1889,-2412,-574,-1007,-672,-1527,-2347,-1283,-786,-455,-893,-197,-408,-468,-333,510,102,108,461,-941,-297,-264,-288,-195,163,-434,-46,337,274,-272,-525,-371,-138,-95,245,665,405,-445,-143,1236,12,-144,206,-429,-360,99
Exports of goods FOB,2194,2009,2054,2063,1820,2327,2129,2058,2092,2097,2133,2102,1919,1880,2161,2088,1861,2257,1964,1853,2049,2067,1880,2111,1759,1738,1821,1778,1740,1947,1692,1864,1989,1818,1959,1867,1508,1857,1689,1826,1860,1891,1811,1797,2075,1827,1978,1884,1817,2090,1743,1960,2173,2008,2090,2057,2316,2235,2265,2014,2013,2075,1805,2061,1898,2013,2274,1875,2037,2084,2323,1799,2217,1896,1881,2191,2113,2110,2056,1996,1821,1423,1259,1573,1887,1515,1947,1969,2240,2255,2100,2184,2616,2304,2130,2492,2234,2339,2627,2375,2737,2930,2503,2890,3071,3152,2505,3130,2215,2734,2438,2281,2246,2308,2222,2199,2422,2135,2565,2111,2104,2411,2439,2721,2697,2783,2680,2534,2523,2638,3007,2443,2365,2439,2616,3004,2788,3107,3008,2609,2760,2606,2444,2594,2780,2496,2630
Imports of goods FOB,3458,3468,3715,3617,3265,3594,3596,3159,3354,3329,3531,3582,4021,3932,4092,3570,3100,3409,3015,2799,3294,3045,3470,3610,3596,3222,3257,3254,3152,4101,3357,3086,3321,3168,3577,4027,3119,3916,3125,3482,3940,4082,4327,4021,4348,4072,4583,4986,4799,4530,3884,4395,4515,4297,4930,4260,5066,4846,5075,5074,5290,4606,4008,4680,4142,4776,4285,3407,4118,4135,4384,4038,4222,3556,3497,3648,3762,4629,3931,3581,3310,3144,2805,3560,3534,3343,3821,3557,4225,5302,4412,4476,5392,4975,4934,6302,5278,5869,5951,5776,6252,6310,6130,5066,6114,5959,5634,7204,5562,6007,4951,4657,4340,4256,4109,4104,4158,3622,3752,3177,4149,4218,3929,4382,4537,4200,4686,4383,4573,4448,5014,4638,4849,4709,4697,4646,4110,4891,5481,5050,4938,5244,5498,4998,5417,4998,5023
Balance on trade in goods,-1264,-1459,-1661,-1554,-1445,-1267,-1467,-1101,-1262,-1232,-1398,-1480,-2102,-2052,-1931,-1482,-1239,-1152,-1051,-946,-1245,-978,-1590,-1499,-1837,-1484,-1436,-1476,-1412,-2154,-1665,-1222,-1332,-1350,-1618,-2160,-1611,-2059,-1436,-1656,-2080,-2191,-2516,-2224,-2273,-2245,-2605,-3102,-2982,-2440,-2141,-2435,-2342,-2289,-2840,-2203,-2750,-2611,-2810,-3060,-3277,-2531,-2203,-2619,-2244,-2763,-2011,-1532,-2081,-2051,-2061,-2239,-2005,-1660,-1616,-1457,-1649,-2519,-1875,-1585,-1489,-1721,-1546,-1987,-1647,-1828,-1874,-1588,-1985,-3047,-2312,-2292,-2776,-2671,-2804,-3810,-3044,-3530,-3324,-3401,-3515,-3380,-3627,-2176,-3043,-2807,-3129,-4074,-3347,-3273,-2513,-2376,-2094,-1948,-1887,-1905,-1736,-1487,-1187,-1066,-2045,-1807,-1490,-1661,-1840,-1417,-2006,-1849,-2050,-1810,-2007,-2195,-2484,-2270,-2081,-1642,-1322,-1784,-2473,-2441,-2178,-2638,-3054,-2404,-2637,-2502,-2393
Exports of services,343,305,347,671,341,428,347,667,382,383,758,373,359,691,693,401,310,453,360,1043,438,403,318,403,715,341,711,400,321,444,354,351,447,594,361,417,349,435,443,394,413,491,428,761,801,456,449,495,415,457,518,463,492,593,470,503,483,442,506,509,477,499,495,508,478,563,519,485,542,486,468,446,485,430,427,546,464,572,524,469,428,354,361,377,456,350,483,440,514,636,484,485,556,493,470,578,495,557,581,564,582,699,529,560,711,645,515,664,546,606,565,622,751,780,686,591,666,554,638,591,526,621,554,607,630,742,676,620,709,656,705,645,632,621,662,702,667,807,674,695,775,751,724,698,724,677,797
Imports of services,567,684,652,713,701,626,668,656,692,695,658,683,742,802,861,697,623,689,715,641,745,752,703,878,676,782,687,759,614,855,672,582,724,848,1060,743,712,858,966,771,759,1011,827,890,832,880,1033,1037,1011,1047,990,850,1116,1228,904,913,900,1241,1000,1077,1218,901,764,841,870,1041,849,741,829,928,1164,790,913,961,646,738,707,1029,730,898,584,516,387,644,807,523,622,714,647,913,675,702,744,641,602,871,889,1065,905,1108,1128,1257,1119,968,1105,1091,978,1329,587,750,678,699,677,733,681,677,705,725,980,746,892,929,926,814,801,856,972,769,908,876,936,1122,873,978,964,932,817,1057,965,952,888,889,866,872,995,1139,995
Balance on trade in services,-224,-379,-305,-42,-360,-198,-321,11,-310,-312,100,-310,-383,-111,-168,-296,-313,-236,-355,402,-307,-349,-385,-475,39,-441,24,-359,-293,-411,-318,-231,-277,-254,-699,-326,-363,-423,-523,-377,-346,-520,-399,-129,-31,-424,-584,-542,-596,-590,-472,-387,-624,-635,-434,-410,-417,-799,-494,-568,-741,-402,-269,-333,-392,-478,-330,-256,-287,-442,-696,-344,-428,-531,-219,-192,-243,-457,-206,-429,-156,-162,-26,-267,-351,-173,-139,-274,-133,-277,-191,-217,-188,-148,-132,-293,-394,-508,-324,-544,-546,-558,-590,-408,-394,-446,-463,-665,-41,-144,-113,-77,74,47,5,-86,-39,-171,-342,-155,-366,-308,-372,-207,-171,-114,-296,-149,-199,-220,-231,-477,-241,-357,-302,-230,-150,-250,-291,-257,-113,-138,-142,-174,-271,-462,-198
Balance on trade in goods and services,-1488,-1838,-1966,-1596,-1805,-1465,-1788,-1090,-1572,-1544,-1298,-1790,-2485,-2163,-2099,-1778,-1552,-1388,-1406,-544,-1552,-1327,-1975,-1974,-1798,-1925,-1412,-1835,-1705,-2565,-1983,-1453,-1609,-1604,-2317,-2486,-1974,-2482,-1959,-2033,-2426,-2711,-2915,-2353,-2304,-2669,-3189,-3644,-3578,-3030,-2613,-2822,-2966,-2924,-3274,-2613,-3167,-3410,-3304,-3628,-4018,-2933,-2472,-2952,-2636,-3241,-2341,-1788,-2368,-2493,-2757,-2583,-2433,-2191,-1835,-1649,-1892,-2976,-2081,-2014,-1645,-1883,-1572,-2254,-1998,-2001,-2013,-1862,-2118,-3324,-2503,-2509,-2964,-2819,-2936,-4103,-3438,-4038,-3648,-3945,-4061,-3938,-4217,-2584,-3437,-3253,-3592,-4739,-3388,-3417,-2626,-2453,-2020,-1901,-1882,-1991,-1775,-1658,-1529,-1221,-2411,-2115,-1862,-1868,-2011,-1531,-2302,-1998,-2249,-2030,-2238,-2672,-2725,-2627,-2383,-1872,-1472,-2034,-2764,-2698,-2291,-2776,-3196,-2578,-2908,-2964,-2591
Primary income credit,60,40,50,25,71,21,52,31,41,36,37,44,17,52,28,39,73,54,35,77,68,30,69,102,19,57,34,63,49,54,33,43,53,43,87,75,22,42,72,37,77,95,79,47,70,41,47,67,45,54,78,39,48,93,60,69,76,44,51,69,53,64,51,69,30,57,52,57,33,29,7,76,44,40,58,28,23,44,37,48,61,28,33,35,40,32,52,20,21,29,52,47,62,49,40,64,47,49,76,42,36,70,55,35,55,44,75,68,54,71,120,33,41,27,61,93,55,26,31,40,51,58,59,57,90,68,126,83,88,76,85,68,90,82,97,74,68,83,85,76,86,84,103,71,93,86,119
Primary income debit,297,256,418,407,546,349,211,355,418,347,526,333,240,254,457,574,627,471,381,330,333,482,553,541,347,296,616,698,533,546,420,328,494,501,719,457,380,286,460,482,564,583,375,400,414,486,704,576,442,393,389,500,613,576,461,348,488,587,834,532,445,387,404,570,486,591,540,345,433,612,785,590,592,327,592,607,467,715,490,249,479,534,223,663,690,244,538,417,284,539,340,184,437,451,344,440,331,420,410,544,506,615,538,308,590,658,431,549,519,253,494,552,486,714,593,423,521,578,580,704,665,469,721,1010,678,892,782,508,680,675,1563,1252,907,659,836,1028,961,872,861,673,773,722,921,886,904,787,790
